tweet_id,retweet_count,favorite_count
892420643555336193,8615,38888
892177421306343426,6329,33297
891815181378084864,4200,25093
891689557279858688,8726,42252
891327558926688256,9497,40399
891087950875897856,3142,20258
890971913173991426,2095,11876
890729181411237888,19095,65702
890609185150312448,4312,27826
890240255349198849,7493,32012
890006608113172480,7416,30722
889880896479866881,5019,27854
889665388333682689,10165,48225
889638837579907072,4590,27239
889531135344209921,2257,15122
889278841981685760,5487,25359
888917238123831296,4548,29149
888804989199671297,4389,25649
888554962724278272,3620,19959
888078434458587136,3530,21814
887705289381826560,5446,30259
887517139158093824,11779,46356
887473957103951883,18419,69276
887343217045368832,10509,33767
887101392804085760,6018,30620
886983233522544640,7839,35247
886736880519319552,3331,12104
886680336477933568,4512,22483
886366144734445568,3216,21179
886267009285017600,4,116
886258384151887873,6361,28030
886054160059072513,104,0
885984800019947520,6878,32788
885528943205470208,6504,36096
885518971528720385,3800,20475
885311592912609280,18766,0
885167619883638784,4426,22003
884925521741709313,18639,77751
884876753390489601,5850,28003
884562892145688576,4928,24355
884441805382717440,5714,27057
884247878851493888,20653,73199
884162670584377345,3024,20431
883838122936631299,3483,21960
883482846933004288,10068,46057
883360690899218434,3726,22615
883117836046086144,6743,37316
882992080364220416,3971,24009
882762694511734784,4982,28385
882627270321602560,6165,27944
882268110199369728,11743,45089
882045870035918850,5046,29442
881906580714921986,3432,24361
881666595344535552,10803,50679
881633300179243008,7,128
881536004380872706,16173,49604
881268444196462592,5206,23127
880935762899988482,2810,17050
880872448815771648,3862,21354
880465832366813184,6362,28599
880221127280381952,4283,27155
880095782870896641,4406,27688
879862464715927552,3539,22360
879674319642796034,10,314
879492040517615616,3222,23464
879415818425184262,44705,106204
879376492567855104,3155,16802
879130579576475649,6935,0
879050749262655488,4774,22652
879008229531029506,2728,19017
878776093423087618,4179,19424
878604707211726852,7340,30379
878404777348136964,1310,0
878316110768087041,6749,0
878281511006478336,1310,7774
878057613040115712,6935,42170
877736472329191424,19446,80251
877611172832227328,81,0
