,id,retweet_count,favorite_count
0,892420643555336193,8615,38888
1,892177421306343426,6329,33297
2,891815181378084864,4200,25093
3,891689557279858688,8726,42252
4,891327558926688256,9497,40399
5,891087950875897856,3142,20258
6,890971913173991426,2095,11876
7,890729181411237888,19095,65702
8,890609185150312448,4312,27826
9,890240255349198849,7493,32012
10,890006608113172480,7416,30722
11,889880896479866881,5019,27854
12,889665388333682689,10165,48225
13,889638837579907072,4590,27239
14,889531135344209921,2257,15122
15,889278841981685760,5487,25359
16,888917238123831296,4548,29149
17,888804989199671297,4389,25649
18,888554962724278272,3620,19959
19,888078434458587136,3530,21814
20,887705289381826560,5446,30259
21,887517139158093824,11779,46356
22,887473957103951883,18419,69276
23,887343217045368832,10509,33767
24,887101392804085760,6018,30620
25,886983233522544640,7839,35247
26,886736880519319552,3331,12104
27,886680336477933568,4512,22483
28,886366144734445568,3216,21179
29,886267009285017600,4,116
30,886258384151887873,6361,28030
31,886054160059072513,104,0
32,885984800019947520,6878,32788
33,885528943205470208,6504,36096
34,885518971528720385,3800,20475
35,885311592912609280,18766,0
36,885167619883638784,4426,22003
37,884925521741709313,18639,77751
38,884876753390489601,5850,28003
39,884562892145688576,4928,24355
40,884441805382717440,5714,27057
41,884247878851493888,20653,73199
42,884162670584377345,3024,20431
43,883838122936631299,3483,21960
44,883482846933004288,10068,46057
45,883360690899218434,3726,22615
46,883117836046086144,6743,37316
47,882992080364220416,3971,24009
48,882762694511734784,4982,28385
49,882627270321602560,6165,27944
50,882268110199369728,11743,45089
51,882045870035918850,5046,29442
52,881906580714921986,3432,24361
53,881666595344535552,10803,50679
54,881633300179243008,7,128
55,881536004380872706,16173,49604
56,881268444196462592,5206,23127
57,880935762899988482,2810,17050
58,880872448815771648,3862,21354
59,880465832366813184,6362,28599
60,880221127280381952,4283,27155
61,880095782870896641,4406,27688
62,879862464715927552,3539,22360
63,879674319642796034,10,314
64,879492040517615616,3222,23464
65,879415818425184262,44705,106204
66,879376492567855104,3155,16802
67,879130579576475649,6935,0
68,879050749262655488,4774,22652
69,879008229531029506,2728,19017
70,878776093423087618,4179,19424
71,878604707211726852,7340,30379
72,878404777348136964,1310,0
73,878316110768087041,6749,0
74,878281511006478336,1310,7774
75,878057613040115712,6935,42170
76,877736472329191424,19446,80251
77,877611172832227328,81,0
78,877556246731214848,3882,22841
79,877316821321428993,5255,27440
80,877201837425926144,5682,27232
81,876838120628539392,3411,20745
82,876537666061221889,4679,23519
83,876484053909872640,2436,18832
84,876120275196170240,4770,28026
85,875747767867523072,4362,25291
86,875144289856114688,5004,22006
87,875097192612077568,6144,27520
88,875021211251597312,4793,25579
89,874680097055178752,4721,27966
90,874434818259525634,15048,0
91,874296783580663808,4189,26174
92,874057562936811520,4026,22759
93,874012996292530176,10661,34871
94,873580283840344065,4024,24382
95,873337748698140672,1619,0
96,873213775632977920,1619,7308
97,872967104147763200,5509,27554
98,872820683541237760,3772,14810
99,872668790621863937,28,0
100,872620804844003328,3785,20925
101,872486979161796608,9197,40973
102,872261713294495745,6471,34485
103,872122724285648897,8306,34701
104,871879754684805121,11484,38347
105,871762521631449091,3560,20431
106,871515927908634625,3535,20391
107,871166179821445120,5823,0
108,871102520638267392,5613,21102
109,871032628920680449,3895,22863
110,870804317367881728,6378,33978
111,870726314365509632,3,120
112,870656317836468226,2720,12563
113,870374049280663552,26942,83567
114,870308999962521604,4265,22059
115,870063196459192321,8593,37095
116,869772420881756160,10342,42919
117,869702957897576449,6515,28595
118,869596645499047938,3225,16190
119,869227993411051520,3908,20713
120,868880397819494401,14974,66554
121,868639477480148993,2166,0
122,868622495443632128,5955,27635
123,868552278524837888,2166,10332
124,867900495410671616,4319,24552
125,867774946302451713,7578,34532
126,867421006826221569,2605,16439
127,867072653475098625,131,0
128,867051520902168576,8165,32803
129,866720684873056260,5013,20469
130,866686824827068416,3621,19710
131,866450705531457537,36589,124525
132,866334964761202691,15048,53660
133,866094527597207552,8688,0
134,865718153858494464,5826,26124
135,865359393868664832,5212,27034
136,865006731092295680,7988,28579
137,864873206498414592,9101,33017
138,864279568663928832,3177,14940
139,864197398364647424,9354,30859
140,863907417377173506,4319,21093
141,863553081350529029,4350,15641
142,863471782782697472,2586,0
143,863432100342583297,5516,24348
144,863427515083354112,101,2313
145,863079547188785154,1151,8955
146,863062471531167744,2586,8756
147,862831371563274240,5309,19652
148,862722525377298433,3702,17497
149,862457590147678208,5199,21071
150,862096992088072192,24407,76586
151,861383897657036800,11215,37026
152,861288531465048066,4372,17660
153,861005113778896900,3998,17181
154,860981674716409858,2264,0
155,860924035999428608,855,0
156,860563773140209665,2264,7717
157,860524505164394496,5539,24256
158,860276583193509888,3648,18807
159,860184849394610176,6140,17164
160,860177593139703809,32439,0
161,859924526012018688,4302,20102
162,859851578198683649,3678,15836
163,859607811541651456,1654,19131
164,859196978902773760,31829,92750
165,859074603037188101,14320,34945
166,858860390427611136,8559,0
